name	ncbi_taxid
Corallococcus	NCBITaxon:83461
Propionivibrio	NCBITaxon:83766
Trueperaceae	NCBITaxon:332247
Truepera	NCBITaxon:332248
Amycolatopsis	NCBITaxon:1813
Sulfurimonas	NCBITaxon:202746
Bacillaceae 2	null
Virgibacillus	NCBITaxon:84406
Nitrosospira	NCBITaxon:35798
Niastella	NCBITaxon:354354
Parasegetibacter	NCBITaxon:1004302
Alterococcus	NCBITaxon:78553
Acidobacteria_Gp21	null
Gp21	null
Acidithiobacillales	NCBITaxon:225057
Acidithiobacillaceae	NCBITaxon:225058
Acidithiobacillus	NCBITaxon:119977
Asanoa	NCBITaxon:195964
Methylovirgula	NCBITaxon:1156568
Luteibacter	NCBITaxon:242605
Cystobacter	NCBITaxon:42
Rhodocista	NCBITaxon:34023
Epilithonimonas	NCBITaxon:358033
Geminicoccus	NCBITaxon:489140
Xanthobacter	NCBITaxon:279
BRC1	null
BRC1_genera_incertae_sedis	null
Pandoraea	NCBITaxon:93217
Iamiaceae	NCBITaxon:633392
Iamia	NCBITaxon:467975
Acidobacteria_Gp23	null
Gp23	null
Porphyromonas	NCBITaxon:836
Fibrobacteres	NCBITaxon:65842
Fibrobacteria	NCBITaxon:204430
Fibrobacterales	NCBITaxon:218872
Fibrobacteraceae	NCBITaxon:204431
Fibrobacter	NCBITaxon:832
Streptosporangium	NCBITaxon:2000
Pusillimonas	NCBITaxon:305976
Meniscus	NCBITaxon:200677
Syntrophothermus	NCBITaxon:129001
Methylosarcina	NCBITaxon:160800
Kaistia	NCBITaxon:166953
Saccharofermentans	NCBITaxon:1200657
Stella	NCBITaxon:93
Dehalococcoidetes	null
Dehalogenimonas	NCBITaxon:670486
Solimonas	NCBITaxon:413435
Clostridiales_Incertae Sedis XVII	null
Thermaerobacter	NCBITaxon:73918
Geobacillus	NCBITaxon:129337
Sandarakinorhabdus	NCBITaxon:362865
Rhodovulum	NCBITaxon:34008
Lewinella	NCBITaxon:70994
Gracilibacteraceae	NCBITaxon:541019
Gracilibacter	NCBITaxon:342658
Schlesneria	NCBITaxon:656899
Janthinobacterium	NCBITaxon:29580
Desulfomicrobiaceae	NCBITaxon:213116
Desulfomicrobium	NCBITaxon:898
Larkinella	NCBITaxon:332157
Herminiimonas	NCBITaxon:303379
Niabella	NCBITaxon:379899
Yersinia	null
Chrysiogenetes	null
Chrysiogenales	NCBITaxon:189769
Chrysiogenaceae	NCBITaxon:189770
Desulfurispirillum	NCBITaxon:393029
Neochlamydia	NCBITaxon:112987
Simplicispira	NCBITaxon:352450
Campylobacter	NCBITaxon:194
Rummeliibacillus	NCBITaxon:648802
Dictyoglomi	NCBITaxon:68297
Dictyoglomia	NCBITaxon:203486
Dictyoglomales	NCBITaxon:203487
Dictyoglomaceae	NCBITaxon:203488
Dictyoglomus	NCBITaxon:13
Clostridiales_Incertae Sedis XII	null
Acidaminobacter	NCBITaxon:65402
Clostridium IV	null
Synergistetes	NCBITaxon:508458
Synergistia	NCBITaxon:649775
Synergistales	NCBITaxon:649776
Synergistaceae	NCBITaxon:649777
Cloacibacillus	NCBITaxon:508459
Oxobacter	NCBITaxon:44261
Promicromonosporaceae	NCBITaxon:85017
Isoptericola	NCBITaxon:254250
Methylophilus	NCBITaxon:16
Desulfovirga	NCBITaxon:149711
Polynucleobacter	NCBITaxon:44013
Actinoallomurus	NCBITaxon:667113
Lactococcus	NCBITaxon:1357
Thiohalomonas	NCBITaxon:397268
Asaia	NCBITaxon:91914
Limnobacter	NCBITaxon:131079
Ochrobactrum	NCBITaxon:528
Lacibacter	NCBITaxon:649461
Clostridium XI	null
Collimonas	NCBITaxon:202907
Rikenellaceae	NCBITaxon:171550
Alistipes	NCBITaxon:239759
Nakamurellaceae	NCBITaxon:85031
Humicoccus	null
Tepidimonas	NCBITaxon:114248
Sutterellaceae	NCBITaxon:995019
Parasutterella	NCBITaxon:577310
Coprococcus	NCBITaxon:33042
Sedimentibacter	NCBITaxon:190972
Methylocystaceae	NCBITaxon:31993
Methylocystis	NCBITaxon:133
Geothrix	NCBITaxon:44675
Leuconostocaceae	NCBITaxon:81850
Leuconostoc	NCBITaxon:1243
Azospira	NCBITaxon:146937
Chelatococcus	NCBITaxon:28209
Paraprevotella	NCBITaxon:577309
Faecalibacterium	NCBITaxon:216851
Desulfocapsa	NCBITaxon:53318
Catelliglobosispora	NCBITaxon:1121253
Ruminococcus	NCBITaxon:1263
Nitrosomonas	NCBITaxon:914
Veillonella	NCBITaxon:29465
Thermomonas	NCBITaxon:141948
Wautersiella	NCBITaxon:343873
Dialister	NCBITaxon:39948
Dactylosporangium	NCBITaxon:35753
Buttiauxella	NCBITaxon:82976
Phaeobacter	NCBITaxon:302485
Tenericutes	NCBITaxon:544448
Mollicutes	NCBITaxon:31969
Mycoplasmatales	NCBITaxon:2085
Mycoplasmataceae	NCBITaxon:2092
Mycoplasma	NCBITaxon:2093
Erysipelotrichia	NCBITaxon:526524
Erysipelotrichales	NCBITaxon:526525
Erysipelotrichaceae	NCBITaxon:128827
Erysipelothrix	NCBITaxon:1647
Asticcacaulis	NCBITaxon:76890
Acidobacteria_Gp9	null
Gp9	null
Rhizobacter	NCBITaxon:212743
Fusobacteriaceae	NCBITaxon:203492
Fusobacterium	NCBITaxon:848
Rhizobiales_incertae_sedis	null
Bauldia	NCBITaxon:1145345
Sporacetigenium	NCBITaxon:360541
Capnocytophaga	NCBITaxon:1016
Mesorhizobium	NCBITaxon:68287
Leeia	NCBITaxon:650341
Virgisporangium	NCBITaxon:65504
Cellulosilyticum	NCBITaxon:698776
Deferribacteres	null
Deferribacterales	NCBITaxon:191393
Deferribacteraceae	NCBITaxon:191394
Deferribacter	NCBITaxon:53572
Acidobacteria_Gp25	null
Gp25	null
Methylobacter	NCBITaxon:429
Vogesella	NCBITaxon:57739
OP11	null
OP11_genera_incertae_sedis	null
Perlucidibaca	NCBITaxon:661182
Denitratisoma	NCBITaxon:311181
Alkanibacter	NCBITaxon:568387
Bifidobacteriales	NCBITaxon:85004
Bifidobacteriaceae	NCBITaxon:31953
Bifidobacterium	NCBITaxon:1678
Acidobacteria_Gp24	null
Gp24	null
Desulforegula	NCBITaxon:153027
Altererythrobacter	NCBITaxon:361177
Methylomicrobium	NCBITaxon:39773
Sanguibacteraceae	NCBITaxon:145360
Sanguibacter	NCBITaxon:60919
Olivibacter	NCBITaxon:376469
Desulfitibacter	NCBITaxon:293136
Ethanoligenens	NCBITaxon:253238
Thermoactinomycetaceae 1	null
Shimazuella	NCBITaxon:471798
Finegoldia	NCBITaxon:150022
Sporomusa	NCBITaxon:2375
Atopobium	NCBITaxon:1380
Acetoanaerobium	NCBITaxon:186831
Phascolarctobacterium	NCBITaxon:33024
Thermoleophilales	NCBITaxon:588674
Thermoleophilaceae	NCBITaxon:320796
Thermoleophilum	NCBITaxon:192992
Serratia	NCBITaxon:613
Dietziaceae	NCBITaxon:85029
Dietzia	NCBITaxon:37914
Bacillales_Incertae Sedis XII	null
Exiguobacterium	NCBITaxon:33986
Bryobacter	NCBITaxon:911113
Cryptosporangiaceae	NCBITaxon:622454
Cryptosporangium	NCBITaxon:65502
Desulfobacca	NCBITaxon:60892
Tsukamurellaceae	NCBITaxon:85028
Tsukamurella	NCBITaxon:2060
Kineococcus	NCBITaxon:33981
Sterolibacterium	NCBITaxon:157591
Marmoricola	NCBITaxon:86795
Oceanobacillus	NCBITaxon:182709
Chitinibacter	NCBITaxon:230666
Kribbella	NCBITaxon:182639
Edaphobacter	NCBITaxon:388463
Clostridium XlVa	null
Sulfurospirillum	NCBITaxon:57665
Porphyrobacter	NCBITaxon:1111
Arsenophonus	NCBITaxon:637
Weissella	NCBITaxon:46255
Natronincola	NCBITaxon:89958
Planococcaceae_incertae_sedis	null
Hydrogenophilus	NCBITaxon:70774
Curvibacter	NCBITaxon:281915
Tissierella	NCBITaxon:41273
Terribacillus	NCBITaxon:459532
Azohydromonas	NCBITaxon:312063
Pasteurellales	NCBITaxon:135625
Pasteurellaceae	NCBITaxon:712
Phaselicystidaceae	NCBITaxon:651809
Phaselicystis	NCBITaxon:651810
Arcicella	NCBITaxon:217140
Enterococcus	NCBITaxon:1350
Carnobacterium	NCBITaxon:2747
Fibrella	NCBITaxon:861914
Anaeroarcus	NCBITaxon:151038
Chlorobia	NCBITaxon:191410
Chlorobiales	NCBITaxon:191411
Chlorobiaceae	NCBITaxon:191412
Chlorobium	NCBITaxon:1091
Psychrobacter	NCBITaxon:497
Cronobacter	NCBITaxon:413496
Paracoccus	null
Brucella	NCBITaxon:234
Gluconobacter	NCBITaxon:441
Providencia	NCBITaxon:586
Azonexus	NCBITaxon:146936
Dyella	NCBITaxon:231454
Tepidamorphus	NCBITaxon:747074
Afipia	NCBITaxon:1033
Microvirgula	NCBITaxon:57479
Siphonobacter	NCBITaxon:700450
Acidobacteria_Gp20	null
Gp20	null
Petrobacter	null
Jiangellaceae	NCBITaxon:1217100
Jiangella	NCBITaxon:281472
Planotetraspora	NCBITaxon:58120
Dysgonomonas	NCBITaxon:156973
Actinocorallia	NCBITaxon:58108
Microvirga	NCBITaxon:186650
Saccharibacillus	NCBITaxon:456492
Dehalobacter	NCBITaxon:56112
Pleomorphomonas	NCBITaxon:261933
Rhodovarius	NCBITaxon:268408
Fodinicurvata	NCBITaxon:1121829
Rhodoferax	NCBITaxon:28065
Sneathia	NCBITaxon:168808
Advenella	NCBITaxon:290425
Angustibacter	NCBITaxon:908626
Vibrionales	NCBITaxon:135623
Vibrionaceae	NCBITaxon:641
Photobacterium	NCBITaxon:657
Verrucomicrobium	NCBITaxon:2735
Pediococcus	NCBITaxon:1253
Brevibacteriaceae	NCBITaxon:85019
Brevibacterium	NCBITaxon:1696
Xanthomonas	NCBITaxon:338
Thermoactinomycetaceae 2	null
Planifilum	NCBITaxon:332100
Acidobacteria_Gp19	null
Gp19	null
Lutibacter	NCBITaxon:358023
Syntrophococcus	NCBITaxon:84036
Shewanellaceae	NCBITaxon:267890
Shewanella	NCBITaxon:22
Actinomadura	NCBITaxon:1988
Simkaniaceae	NCBITaxon:92712
Simkania	NCBITaxon:34093
Pseudochrobactrum	NCBITaxon:354349
Smaragdicoccus	NCBITaxon:613121
Orbus	NCBITaxon:743714
Fusibacter	NCBITaxon:76008
Pseudoalteromonadaceae	NCBITaxon:267888
Pseudoalteromonas	NCBITaxon:53246
Filimonas	NCBITaxon:649460
Fructobacillus	NCBITaxon:559173
Sphingosinicella	NCBITaxon:335405
Haemophilus	NCBITaxon:724
Demequinaceae	NCBITaxon:1042322
Demequina	NCBITaxon:577469
Alloiococcus	NCBITaxon:1651
Dermabacteraceae	NCBITaxon:85020
Brachybacterium	NCBITaxon:43668
Globicatella	NCBITaxon:13075
Tepidibacter	NCBITaxon:214904
Nakamurella	NCBITaxon:53460
Enhydrobacter	NCBITaxon:212791
Inhella	NCBITaxon:644355
Roseateles	NCBITaxon:93681
Puniceicoccales	NCBITaxon:415001
Puniceicoccaceae	NCBITaxon:415002
Parachlamydia	NCBITaxon:83551
Thauera	NCBITaxon:33057
Haliangiaceae	null
Haliangium	NCBITaxon:162027
Turicibacter	NCBITaxon:191303
SR1	null
SR1_genera_incertae_sedis	null
Spirochaetaceae	NCBITaxon:137
Spirochaeta	NCBITaxon:146
Wautersia	null
Isosphaera	NCBITaxon:127
Acidobacteria_Gp14	null
Gp14	null
Sorangium	NCBITaxon:39643
Acidothermaceae	NCBITaxon:85032
Acidothermus	NCBITaxon:28048
Methylocaldum	NCBITaxon:73778
Methylosoma	NCBITaxon:392710
Xiphinematobacter	null
Subdivision5	null
Subdivision5_genera_incertae_sedis	null
Nannocystis	NCBITaxon:53
Nitrobacter	NCBITaxon:911
Vasilyevaea	NCBITaxon:1146841
Rhodothermaceae	NCBITaxon:563843
Catellibacterium	null
Uliginosibacterium	NCBITaxon:392735
Rudanella	NCBITaxon:451373
Ktedonobacterales	NCBITaxon:388448
Ktedonobacteraceae	NCBITaxon:388449
Ktedonobacter	NCBITaxon:363276
Cesiribacter	NCBITaxon:1133570
Kofleriaceae	NCBITaxon:224464
Kofleria	NCBITaxon:224465
Solitalea	NCBITaxon:929509
Malikia	NCBITaxon:263066
Flavihumibacter	NCBITaxon:1004301
Formivibrio	NCBITaxon:83764
Leadbetterella	NCBITaxon:319458
Aureispira	NCBITaxon:365032
Phaeospirillum	NCBITaxon:85265
Ectothiorhodospiraceae	NCBITaxon:72276
Microlunatus	NCBITaxon:29404
Sporobacter	NCBITaxon:44748
Cerasicoccus	NCBITaxon:468938
Rugamonas	NCBITaxon:212744
Pimelobacter	NCBITaxon:2044
Oryzihumus	NCBITaxon:344063
Azotobacter	NCBITaxon:352
Azomonas	NCBITaxon:69961
Renibacterium	NCBITaxon:1645
Acidiphilium	NCBITaxon:522
Thiohalobacter	NCBITaxon:1273155
Caenispirillum	NCBITaxon:414051
Marinilabiaceae	null
Alkaliflexus	NCBITaxon:286729
Actinomycetospora	NCBITaxon:402649
Pseudorhodoferax	NCBITaxon:747294
Granulicatella	NCBITaxon:117563
Bordetella	NCBITaxon:517
Ferrimicrobium	NCBITaxon:121038
Quadrisphaera	NCBITaxon:317661
Methylocapsa	NCBITaxon:184923
Psychrosinus	NCBITaxon:552808
Tolumonas	NCBITaxon:43947
Riemerella	NCBITaxon:34084
Thalassobacter	NCBITaxon:266808
Desulfatirhabdium	NCBITaxon:497742
Crossiella	NCBITaxon:130795
Howardella	NCBITaxon:404402
Pelagibius	NCBITaxon:643951
Blastochloris	NCBITaxon:59282
Thiobacter	NCBITaxon:279809
Papillibacter	NCBITaxon:100175
Planomonospora	NCBITaxon:1998
Methylovulum	NCBITaxon:762296
Stigmatella	NCBITaxon:40
Xenophilus	NCBITaxon:151754
Filomicrobium	NCBITaxon:119044
Levilinea	NCBITaxon:475965
Fervidicella	NCBITaxon:1403538
Acetivibrio	NCBITaxon:35829
Oxalobacter	NCBITaxon:846
Belnapia	NCBITaxon:365532
Propionispira	NCBITaxon:84034
Labrenzia	NCBITaxon:478070
Terracoccus	NCBITaxon:68903
Deferribacterales_incertae_sedis	null
Caldithrix	NCBITaxon:187144
Ferrithrix	NCBITaxon:643949
Gulbenkiania	NCBITaxon:397456
Curtobacterium	NCBITaxon:2034
Thermoanaerobacterales	NCBITaxon:68295
Thermoanaerobacteraceae	NCBITaxon:186814
Family VIII	null
GpVIII	null
Zhihengliuella	NCBITaxon:370735
Desulfatibacillum	NCBITaxon:218207
Cryobacterium	NCBITaxon:69578
Family XIII	null
GpXIII	null
Mycoplana	NCBITaxon:13159
Ancylobacter	NCBITaxon:99
Acidaminococcus	NCBITaxon:904
Spirochaetales_incertae_sedis	null
Exilispira	NCBITaxon:568400
Thermosyntropha	NCBITaxon:54293
Raoultella	NCBITaxon:160674
Leminorella	NCBITaxon:82980
Orientia	NCBITaxon:69474
Haematobacter	NCBITaxon:366614
Pyxidicoccus	NCBITaxon:224458
Owenweeksia	NCBITaxon:267986
Desulfofustis	NCBITaxon:51194
Treponema	NCBITaxon:157
Pseudofulvimonas	NCBITaxon:999506
Clostridiaceae 4	null
Geosporobacter	NCBITaxon:390805
Leifsonia	NCBITaxon:110932
Anaerorhabdus	NCBITaxon:118966
Prolixibacter	NCBITaxon:314318
Erythrobacter	NCBITaxon:1041
Oerskovia	NCBITaxon:162491
Afifella	NCBITaxon:643217
Gemmiger	NCBITaxon:204475
Rhodopirellula	NCBITaxon:265488
Lishizhenia	NCBITaxon:559293
Oceanospirillaceae	NCBITaxon:135620
Porticoccus	NCBITaxon:1123967
Thermoflavimicrobium	NCBITaxon:292636
Rhodopila	NCBITaxon:1070
Lachnospiracea_incertae_sedis	null
Paracraurococcus	NCBITaxon:77674
Corynebacterineae_incertae_sedis	null
Hoyosella	NCBITaxon:697025
Marinifilum	NCBITaxon:866673
Planobacterium	null
Peptococcaceae I	null
Desulfitispora	NCBITaxon:1006482
Desulforhopalus	NCBITaxon:40413
Actibacter	NCBITaxon:449462
Desmospora	NCBITaxon:500614
Lentibacillus	NCBITaxon:175304
Thermodesulfovibrio	NCBITaxon:28261
Arenicella	NCBITaxon:904708
Desertibacter	NCBITaxon:1400063
Thermodesulforhabdus	NCBITaxon:88358
Granulosicoccaceae	NCBITaxon:449719
Granulosicoccus	NCBITaxon:437504
Citrobacter	NCBITaxon:544
Parvularculales	NCBITaxon:255473
Parvularculaceae	NCBITaxon:255474
Parvularcula	NCBITaxon:208215
Moryella	NCBITaxon:437755
Anderseniella	NCBITaxon:444432
Anoxynatronum	NCBITaxon:210622
Thalassobaculum	NCBITaxon:526215
Caldimonas	NCBITaxon:196013
Aquamicrobium	NCBITaxon:69278
Spirillospora	NCBITaxon:58122
Tindallia	NCBITaxon:69894
Anaerofustis	NCBITaxon:264995
Achromobacter	NCBITaxon:222
Desulfonispora	NCBITaxon:83660
Beutenbergiaceae	NCBITaxon:125316
Serinibacter	NCBITaxon:690565
Pigmentiphaga	NCBITaxon:152267
Clavibacter	NCBITaxon:1573
Desulfonema	NCBITaxon:45654
Saccharopolyspora	NCBITaxon:1835
Methylotenera	NCBITaxon:359407
Salinibacterium	NCBITaxon:235888
Desulfurivibrio	NCBITaxon:427922
Methylopila	NCBITaxon:61653
Pelistega	NCBITaxon:106146
Oleiphilaceae	NCBITaxon:191033
Oleiphilus	NCBITaxon:141450
Paucimonas	NCBITaxon:157932
Umezawaea	NCBITaxon:583360
Mycetocola	NCBITaxon:76634
Streptacidiphilus	NCBITaxon:228398
Microtetraspora	NCBITaxon:1995
Enterobacter	NCBITaxon:547
Cedecea	NCBITaxon:158483
Desulfacinum	NCBITaxon:35836
Lysinibacillus	NCBITaxon:400634
Leucobacter	NCBITaxon:55968
Parasporobacterium	NCBITaxon:115543
Actinobacillus	NCBITaxon:713
Pseudomonadales_incertae_sedis	null
Dasania	NCBITaxon:503005
Verrucosispora	NCBITaxon:84593
Aquaspirillum	NCBITaxon:187
Dermacoccaceae	NCBITaxon:145357
Desulfofaba	NCBITaxon:109169
Fulvimarina	NCBITaxon:217510
Coraliomargarita	NCBITaxon:442430
Ramlibacter	NCBITaxon:174951
Agromonas	null
Andreprevotia	NCBITaxon:397275
Hyphomonadaceae	NCBITaxon:69657
Fulvimonas	NCBITaxon:155196
Leptothrix	NCBITaxon:88
Nitrosococcus	NCBITaxon:1227
Desulfopila	NCBITaxon:429014
Leptonema	null
Stakelama	NCBITaxon:1124625
Frateuria	NCBITaxon:70411
Desulfosalsimonas	NCBITaxon:377149
Rivibacter	NCBITaxon:1146865
Wandonia	NCBITaxon:1115103
Desulfovirgula	NCBITaxon:418453
Amorphus	NCBITaxon:580880
Ruegeria	NCBITaxon:97050
Chitinilyticum	NCBITaxon:551208
Derxia	NCBITaxon:203697
Methyloversatilis	NCBITaxon:378210
Ottowia	NCBITaxon:219181
Methylohalomonas	NCBITaxon:398772
Azovibrio	NCBITaxon:146935
Oligotropha	NCBITaxon:40136
Chlamydiaceae	NCBITaxon:809
Brachymonas	NCBITaxon:28219
Elusimicrobia	null
Elusimicrobiales	NCBITaxon:641854
Elusimicrobiaceae	NCBITaxon:641876
Elusimicrobium	NCBITaxon:423604
Ornithobacterium	NCBITaxon:28250
Chloroflexales	NCBITaxon:32064
Chloroflexaceae	NCBITaxon:1106
Heliothrix	NCBITaxon:1109
Barnesiella	NCBITaxon:397864
Rhodovibrio	NCBITaxon:85274
Diaphorobacter	NCBITaxon:238749
Marinoscillum	NCBITaxon:643701
Spongiibacter	NCBITaxon:630749
Plesiomonas	NCBITaxon:702
Gemmobacter	NCBITaxon:204456
Empedobacter	NCBITaxon:59734
Thioalkalispira	NCBITaxon:200623
Granulibacter	NCBITaxon:364409
Anaerobacter	null
Celerinatantimonadaceae	NCBITaxon:412032
Celerinatantimonas	NCBITaxon:412033
Aquitalea	NCBITaxon:407217
Clostridium XlVb	null
Flectobacillus	NCBITaxon:101
Acetonema	NCBITaxon:2373
Nisaea	NCBITaxon:390876
Paucibacter	NCBITaxon:318147
Clostridiaceae 3	null
Family IV	null
GpIV	null
Oceanibaculum	NCBITaxon:659693
Euzebyales	NCBITaxon:908621
Euzebyaceae	NCBITaxon:908622
Euzebya	NCBITaxon:908623
Bacillales_incertae_sedis	null
Calditerricola	NCBITaxon:373053
Saccharospirillaceae	NCBITaxon:255527
Saccharospirillum	NCBITaxon:231683
Desulforhabdus	NCBITaxon:39840
Thiotrichaceae	NCBITaxon:135617
Beggiatoa	NCBITaxon:1021
Geopsychrobacter	NCBITaxon:271087
Plesiocystis	NCBITaxon:191767
Blastomonas	NCBITaxon:150203
Croceicoccus	NCBITaxon:1295327
Thiorhodospira	NCBITaxon:154346
Streptosporangineae_incertae_sedis	null
Sinosporangium	NCBITaxon:1367968
Pseudacidovorax	NCBITaxon:433923
Sedimenticola	NCBITaxon:349742
Longispora	NCBITaxon:203522
Acidimicrobium	NCBITaxon:53634
Acidobacterium	NCBITaxon:33973
Saxeibacter	null
Tepidicella	NCBITaxon:360239
Saccharophagus	NCBITaxon:316625
Phycisphaerae	NCBITaxon:666505
Phycisphaerales	NCBITaxon:666506
Phycisphaeraceae	NCBITaxon:666507
Phycisphaera	NCBITaxon:666508
Desulfarculales	NCBITaxon:453227
Desulfarculaceae	NCBITaxon:453228
Desulfarculus	NCBITaxon:453229
Stappia	NCBITaxon:152161
Marinobacter	NCBITaxon:2742
Sporocytophaga	NCBITaxon:1011
Aspromonas	null
Aquiflexum	NCBITaxon:280472
